timestamp,mac,actual_x,actual_y,heron_x,heron_y,heron_method,heron_confidence,heron_err,heron_fallback,tri_x,tri_y,tri_method,tri_confidence,tri_err,tri_fallback
2026-03-17T14:47:08.461218,4C:75:25:CB:80:A2,0.0,0.0,1.4964223372221905,0.6974835384014678,heron,high,1.6509885213648685,no,2.4261437885172805,1.3150285459504294,trilateration,high,2.7596147845714776,no
2026-03-17T14:47:12.668404,4C:75:25:CB:80:A2,0.0,0.0,1.4951180158474644,0.6906554849678809,heron,high,1.646931352615487,no,2.5108272765423836,1.3150285459504296,trilateration,high,2.8343524285617243,no
2026-03-17T14:48:58.614541,4C:75:25:CB:80:A2,0.0,0.0,1.2345189443353886,0.3528311795812712,heron,high,1.2839497128811834,no,1.2345189443353886,0.3528311795812712,heron,medium,1.2839497128811834,yes
2026-03-17T14:48:59.728201,4C:75:25:CB:80:A2,0.0,0.0,1.2345189443353886,0.3528311795812712,heron,high,1.2839497128811834,no,1.2345189443353886,0.3528311795812712,heron,medium,1.2839497128811834,yes
2026-03-17T14:49:00.848190,4C:75:25:CB:80:A2,0.0,0.0,1.2345189443353886,0.3528311795812712,heron,high,1.2839497128811834,no,1.2345189443353886,0.3528311795812712,heron,medium,1.2839497128811834,yes
2026-03-17T14:49:03.753876,4C:75:25:CB:80:A2,0.0,0.0,1.2345189443353886,0.3528311795812712,heron,high,1.2839497128811834,no,1.2345189443353886,0.3528311795812712,heron,medium,1.2839497128811834,yes
2026-03-17T14:49:17.557125,4C:75:25:CB:80:A2,2.0,0.0,1.2345189443353886,0.3528311795812712,heron,high,0.8428826062187541,no,1.2345189443353886,0.3528311795812712,heron,medium,0.8428826062187541,yes
2026-03-17T14:49:18.784760,4C:75:25:CB:80:A2,2.0,0.0,1.2345189443353886,0.3528311795812712,heron,high,0.8428826062187541,no,1.2345189443353886,0.3528311795812712,heron,medium,0.8428826062187541,yes
2026-03-17T14:49:21.322844,4C:75:25:CB:80:A2,2.0,0.0,1.2345189443353886,0.3528311795812712,heron,high,0.8428826062187541,no,1.2345189443353886,0.3528311795812712,heron,medium,0.8428826062187541,yes
2026-03-17T14:49:22.762624,4C:75:25:CB:80:A2,2.0,0.0,1.2345189443353886,0.3528311795812712,heron,high,0.8428826062187541,no,1.2345189443353886,0.3528311795812712,heron,medium,0.8428826062187541,yes
2026-03-17T14:49:23.602516,4C:75:25:CB:80:A2,2.0,0.0,1.2345189443353886,0.3528311795812712,heron,high,0.8428826062187541,no,1.2345189443353886,0.3528311795812712,heron,medium,0.8428826062187541,yes
2026-03-17T14:49:24.347990,4C:75:25:CB:80:A2,2.0,0.0,1.2345189443353886,0.3528311795812712,heron,high,0.8428826062187541,no,1.2345189443353886,0.3528311795812712,heron,medium,0.8428826062187541,yes
2026-03-17T14:49:25.305533,4C:75:25:CB:80:A2,2.0,0.0,1.2345189443353886,0.3528311795812712,heron,high,0.8428826062187541,no,1.2345189443353886,0.3528311795812712,heron,medium,0.8428826062187541,yes
2026-03-17T14:49:51.550335,4C:75:25:CB:80:A2,2.0,1.0,1.2345189443353886,0.3528311795812712,heron,high,1.0023915047044127,no,1.2345189443353886,0.3528311795812712,heron,medium,1.0023915047044127,yes
2026-03-17T14:49:52.557456,4C:75:25:CB:80:A2,2.0,1.0,1.2345189443353886,0.3528311795812712,heron,high,1.0023915047044127,no,1.2345189443353886,0.3528311795812712,heron,medium,1.0023915047044127,yes
2026-03-17T14:49:53.325075,4C:75:25:CB:80:A2,2.0,1.0,1.2345189443353886,0.3528311795812712,heron,high,1.0023915047044127,no,1.2345189443353886,0.3528311795812712,heron,medium,1.0023915047044127,yes
2026-03-17T14:49:54.179107,4C:75:25:CB:80:A2,2.0,1.0,1.2345189443353886,0.3528311795812712,heron,high,1.0023915047044127,no,1.2345189443353886,0.3528311795812712,heron,medium,1.0023915047044127,yes
2026-03-17T14:49:54.891477,4C:75:25:CB:80:A2,2.0,1.0,1.2345189443353886,0.3528311795812712,heron,high,1.0023915047044127,no,1.2345189443353886,0.3528311795812712,heron,medium,1.0023915047044127,yes
2026-03-17T14:49:56.953883,4C:75:25:CB:80:A2,2.0,1.0,1.2345189443353886,0.3528311795812712,heron,high,1.0023915047044127,no,1.2345189443353886,0.3528311795812712,heron,medium,1.0023915047044127,yes
2026-03-17T14:49:57.959136,4C:75:25:CB:80:A2,2.0,1.0,1.2345189443353886,0.3528311795812712,heron,high,1.0023915047044127,no,1.2345189443353886,0.3528311795812712,heron,medium,1.0023915047044127,yes
2026-03-17T14:49:58.752630,4C:75:25:CB:80:A2,2.0,1.0,1.2345189443353886,0.3528311795812712,heron,high,1.0023915047044127,no,1.2345189443353886,0.3528311795812712,heron,medium,1.0023915047044127,yes
2026-03-17T14:49:59.471473,4C:75:25:CB:80:A2,2.0,1.0,1.2345189443353886,0.3528311795812712,heron,high,1.0023915047044127,no,1.2345189443353886,0.3528311795812712,heron,medium,1.0023915047044127,yes
2026-03-17T14:50:00.503452,4C:75:25:CB:80:A2,2.0,1.0,1.2345189443353886,0.3528311795812712,heron,high,1.0023915047044127,no,1.2345189443353886,0.3528311795812712,heron,medium,1.0023915047044127,yes
2026-03-17T14:50:01.904416,4C:75:25:CB:80:A2,2.0,1.0,1.2345189443353886,0.3528311795812712,heron,high,1.0023915047044127,no,1.2345189443353886,0.3528311795812712,heron,medium,1.0023915047044127,yes
2026-03-17T14:50:03.545141,4C:75:25:CB:80:A2,2.0,1.0,1.2345189443353886,0.3528311795812712,heron,high,1.0023915047044127,no,1.2345189443353886,0.3528311795812712,heron,medium,1.0023915047044127,yes
2026-03-17T14:50:08.368597,4C:75:25:CB:80:A2,2.0,1.0,1.2345189443353886,0.3528311795812712,heron,high,1.0023915047044127,no,1.2345189443353886,0.3528311795812712,heron,medium,1.0023915047044127,yes
2026-03-17T14:50:09.357052,4C:75:25:CB:80:A2,2.0,1.0,1.2345189443353886,0.3528311795812712,heron,high,1.0023915047044127,no,1.2345189443353886,0.3528311795812712,heron,medium,1.0023915047044127,yes
2026-03-17T14:50:10.071784,4C:75:25:CB:80:A2,2.0,1.0,1.2345189443353886,0.3528311795812712,heron,high,1.0023915047044127,no,1.2345189443353886,0.3528311795812712,heron,medium,1.0023915047044127,yes
